"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","5310_project","public","customers","customerid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","airlines","airlineid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","flights","flightid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","flights","airlineid",2,"integer",NULL,"FOREIGN KEY","public","airlines","airlineid"
"postgresql","5310_project","public","locations","locationid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","hotels","hotelid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","hotels","locationid",3,"integer",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","5310_project","public","hotels","locationid",3,"integer",NULL,"FOREIGN KEY","public","locations","locationid"
"postgresql","5310_project","public","carrentalcompanies","companyid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","carrentals","rentalid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","carrentals","companyid",2,"integer",NULL,"FOREIGN KEY","public","carrentalcompanies","companyid"
"postgresql","5310_project","public","carrentals","locationid",4,"integer",NULL,"FOREIGN KEY","public","locations","locationid"
"postgresql","5310_project","public","paymentinformation","paymentid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","paymentinformation","customerid",2,"integer",NULL,"FOREIGN KEY","public","customers","customerid"
"postgresql","5310_project","public","flightpricetrends","trendid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","flightpricetrends","flightid",3,"integer",NULL,"FOREIGN KEY","public","flights","flightid"
"postgresql","5310_project","public","hotelpricetrends","trendid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","5310_project","public","hotelpricetrends","hotelid",3,"integer",NULL,"FOREIGN KEY","public","hotels","hotelid"
"postgresql","5310_project","public","carrentalpricetrends","trendid",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
