"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","test","public","locations","location_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","customers","customer_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","customers","customer_address",7,"integer",NULL,"FOREIGN KEY","public","locations","location_id"
"postgresql","test","public","airlines","airline_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","flights","flight_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","flights","airline_id",2,"integer",NULL,"FOREIGN KEY","public","airlines","airline_id"
"postgresql","test","public","flights","depart_location",4,"integer",NULL,"FOREIGN KEY","public","locations","location_id"
"postgresql","test","public","flights","destin_location",6,"integer",NULL,"FOREIGN KEY","public","locations","location_id"
"postgresql","test","public","hotels","hotel_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","hotels","hotel_address",3,"integer",NULL,"FOREIGN KEY","public","locations","location_id"
"postgresql","test","public","room_types","room_type_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","room_types","room_type",2,"character varying",255,"UNIQUE",NULL,NULL,NULL
"postgresql","test","public","rental_companies","rental_company_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","rental_companies","rental_company_address",3,"integer",NULL,"FOREIGN KEY","public","locations","location_id"
"postgresql","test","public","car_types","car_type_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","discounts","customer_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","discounts","customer_id",1,"integer",NULL,"FOREIGN KEY","public","customers","customer_id"
"postgresql","test","public","payment_information","payment_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","test","public","payment_information","customer_id",2,"integer",NULL,"FOREIGN KEY","public","customers","customer_id"
"postgresql","test","public","payment_information","billing_address",5,"integer",NULL,"FOREIGN KEY","public","locations","location_id"
