review_id,customer_id,hotel_booking_id,car_rental_booking_id,flight_booking_id,date,review_text
1,1,582,89,347,2020-01-01,ehYpHVBEBkDjJZOrapHrZRtmeWompIntdainPrBhHNiyAYHUSvFIGHQTedyFBiFmniICbPpWTLZNryGoZApZZQACQITtLXEcOjrywsmZHMBZwywyegwNDthDRXkzhBeqReKNBEYUgZRdzFcTfbYiXNmkWzXjLWXlocWwZoyVjKYHvNIFalGnnCeiuYtKFVFFfnYLLLwS
2,2,353,72,72,2020-01-02,KvPhnoTOMyHdZSGsHGhfsTbqHsPVhBpwjHIhkAVfnfRTKpwBBKaHuEcClVFDmYPdwiVmZtnPXqHimpgluPECYNmKpXekWQGqDnbjEoPmAmvtmeCWWfiQaVOzYpYayBKxWyvYXPOZmuDYkAsLAdUMFCQrPuykUtBhxddPyFMhRKzIilSXkqlkHZLBRVLnXiRBOsoPuzlb
3,3,286,318,406,2020-01-03,wNtLebCceOYmHXirVXrzCumgTpwOIOXYxrvWMPunEctkGEdWFOVUFVKcaIsFEaeZLpmArBbVIcUJpeagAFNbmvHUyZwOQoAJZmAvjzFZydgonzEHWIVVlPrAeETaGTbJVUdRzSaqitBSnhmTDwzGdwevGenRjmdioyMXOvQZRUXMiVluzctiAcsfnnMFcVbpyEewiCEl
4,4,536,240,245,2020-01-04,KDrTdwToAfZOulxFtxpCOpPmdBWDIBMnGwfPSbYalWfPzPpcqZLAxnqjyKTQtgmwkvxuYDzIJFdHzuefvgubxZpWYCVxhYZWcIHmeFQaqASypLncNOFpptcFzWqnAwPQoCKJgPPDRsAujrNBSQIZYaRvxxeBNCHxzlpTwISATJgxJksKMSCeoGdykvRQFTggmjROVcVq
5,5,1,277,511,2020-01-05,fpghWJERwTnPbjPvWDBjHNzaqzrwZWzJPaPeIJrRQwnCsfDOLiVrVZWbfCUmTDlqEkLOdAjEeOCFsJIRtqodHeZxosmsKdfoCuPUprXdGtGCZpyyUTGhsLwcJOVNRCYRELjRshuswWLZHvVFHBJRBCGgpEFMLDDHmfjCVLHoysKPpVYtrOAGPZYDJNFxbLqguvDGFuto
6,6,201,456,167,2020-01-06,PFGfVXmTKnaAFhSQcpyrGUWnLQihSfgVnQblwXNCQtHUxaCEZpRWbhunvwAdLUlFjMufDpxRFzNfEByylzDcUPfkdyODrxbfizMCHnYPBGniYgIboaNRYxcfUywvNswoTZaaCKjyHhauajycJRFoLhvfKBDhZsTyiHEMEhxbFblLMobuBVcGmphNpNElrabooBczVdKU
7,7,100,208,170,2020-01-07,VIQRncSEXjHpopFNwcqkiobbBUlWoHoJRrKfkOOfDBBLUdIiyXYNmSpkjYgCwvxXuhgWLsmHuxHvxLuUlANvMuoEfQpjLnPwejwseJKrtoyZhQtNShELGHyoqqjuffFzGjJdfrzdfCSgEzspRXpOJQRKiatYUJWVMGKcwwBOftpFIkTbZmEJLdCGOvghOYcKeiWAgrpM
8,8,149,16,414,2020-01-08,LfhvmTEpfXRROalNnpIrOYUDAPydZPgdynZRekDTGdVocZcNDiACtgnkvgMvEhhXnbAHYiFYVtMPYQHrMQWVAQmhIDVLQYpsAJosMzPBSmWjVyMoOxxfMooohjAMgmHkDForwFeJwtCrHQdvGzrZICBihFmieLjsbOseIcraPzkqhwbDZORLUeBvLlfAvWMiJknXIEbM
9,9,465,506,94,2020-01-09,wFmzGwtCmEheRAzZDLxNugVEoxtLpKNvRKYJwNDCszxHEjTxqWIrpdKbSVBvUDRtVKedCoUZWLzhAIkURFgXONKEPpaBgfpIUBsTzacittQXHaaaFJCkHAfAyrMIfgLYhIusQYCMcyWmGGAvKhPtPYgByjDoZSmKfkJXhJEnEaDDbZuHnAgGSrjziplYlRizVWOonnBZ
10,10,235,356,560,2020-01-10,JldkcPiCBMkLWAojWsWogBaVVSrQTGNCUUOIZyfpFrjaSHwJICbqjhnoxuNbVPpCirZzEuUPAdYOLAXcoNHtBurPGchYASieIAOMUqPdSiAuZEAEeFVpSydSxGCcEVcSIOYHOSUKnIfXsSvrSlpmoebJiaiTwwKrCWKaUOSnSUtazNXBNnhoKuEyuItpRXuZIfmTkwPC
11,11,415,496,340,2020-01-11,BVulEARSabPkCCwpDxjbYniggtPrefMTaLeXgMVEPNsdMakcJOWwmzEBpzjOSheldmUyouYlaXZdEZPLqmSYzhGKcxUzDFOOfgWyCFeWTcQcFwhRAfRDfkfVdtzSgbXKQfAPKBcqPKcXiAuTFcFiNYpVISRuZFhPEespXASkGQGVaLkwBwxcABdBZWxwsxFerJqPkbnx
12,12,125,125,413,2020-01-12,pzmLwEGPCWwNqhnFSwVEAMXKHZDyxudvSsujKCbiwsesRhPSEhogLjpBSmrmNKZQEblvOnKxSqDssABZzAXewdYvRacFAnIJOJLntKakRJQdpsDwvaLSXElDkWIYmPmfNqOWuntYRJNtKtbraLtXrOPlNblxBXfbiJzfEooYSgycKzxhWisvYHtbzCZtJgHqJfHsqlkV
13,13,459,99,457,2020-01-13,cLTagsQpNBoicsynFIWsPuLbweNFQwHTxAFOWAKcKtWfhNBQYxIWhnNVplKISBJlcCNuIpQBEkjBJoLYzxgDAdpdMfmrEuaLuhuyrjxpwBqktPBPCMmumTINduMgZCVDnMCCkSdmtzjsAhngOGHvKBtQtuBBcVyQHWanNQiVMbhcxQSIoKeBrdlQCVwqbzsZairGMGMt
14,14,346,279,331,2020-01-14,zBHYZXTwKAbuDNwABVEMQqpFACUQUUxjTDTjxWFqTvAXtqiIebLJezlAUKfQbHcQAFyQmGBzTzWmELKpmPWOLJahWzJJOIgcKjLAXedhUjSPLQbAaQbprIljPKptjNWRtkjiqQyflBahhUYBucgDPujjTSYVeuWlZNkkxAwaEyXpTPTSreYwQjrgbvuXafyfUaVcaTEK
15,15,557,307,281,2020-01-15,lekwreBlFwVdeuxPlxjgyfECpHuWwoyiqeQMYUGDmeqJgohEtPIaNRoVXrOzmYrVFtqByaFTPBrCEJNWcuLOrrkfwFehAYkTkxfGcGcCalXiNDoNSrdbVMCHnBXPVqnFCWlofadYHDfrqpGWlsrPhIYqiCbKkVyMtosYitVZjEeGOVvYsIXkQoiHwKCryTQlJoBEFWJH
16,16,144,455,21,2020-01-16,ZkgXCuYIRirHXFORPyNHtGBMpztJpSGYFpmgenrLYoWZRpsDfbUJOmVgLVNDAfhiQKTSbiMBXPGGeWOrlBFHHeOYJWJIgIvNqJXfVYDprSCflnAlDXKwnkUZxnrABYrZDYEUaZZgbRtSpcNuYmAEnSmCsUZpueYRufCfJUPugwSpYRkHTfKrnVBTTCexkghzUJEtgAqb
17,17,74,333,545,2020-01-17,EWdbwXYoeSGVuapZSULdpKZQGTffUeZdSquIJGAvVAeTvGpyXPyQHjRNlycPdAMLXAaPjiAjRNVfmtDsraCAtpAwqxfSduBeanRpGykfMvvYKSPdKJzupsmWxtYoPtpnXRSaFYEduCnereXtPHOCAgqguwYTIOMkYbXiCRRwNsiEjHwSSjCcyVdAvGqzUWtmedCeCAop
18,18,29,18,131,2020-01-18,aTyRuMhZBqolZCeIiWDWYsxEavzgEENvDZKxfyUzqbZmqXIASuAirlIfxdenuvWUskGlGrMKjKdaizffFWUbIaYFVixCvylCbDLJGXydHYnmgIacsLagYjWoevAsBqmUePsIhSDvNlfJhbcpTnrmpfulvrkqDxREevChGRArstcTGIkBpPEmQfTufzVCgvqAJQedqEaJ
19,19,283,595,552,2020-01-19,NooLSTaudqDrCwOpGvPgyGUMERywtDLQRAwLDoPLHEcKtjWLUeUHHBrxliykpMJBfKnIFIzFXZmtEQrHbwWavyTrsOJfZgtofLSXRpACWbOjQwGQPZUGByzfIZFOxCJAFLLorvVzbtlQzvgbwjDYAQNCHLEFCnZEwdDKVewvkZczVfBhEQqWpBVAgiSvIZgziRJaVeDJ
20,20,557,572,492,2020-01-20,ZswGhCNPUkGCAMsAUbOkYRXISVGbdmTXwfwyISwpGZdiLqTjZstfaQEMTZedHcslwuVVXuyIujfQfnActBqGumQRrvaeqfbcinCebVOiAKZLSOARBYuZXaYPiXEqfuwHlHKIXCSClNArjHEpkxzdOZFBkaJMIHqdFZjKUIiPYtXkDwcbibfwbltCPtatPwTqdKjlUlFa
21,21,89,545,130,2020-01-21,IrUCuUyyBNaKroIPhBSbeMONanjeJAIESnYxAkCZLHIKVYfRyRFAneOLONWQslaoNmWoYVcOxGfXOZPusFdYQDshroTxIXNHNGEZpxDhBeuqIDKHAuBjOZqOiBtOupTgEgkQeywXKJeEAFveXCCyeNsTmKscwdbQiLQkwRVNQinBoTfxPljfVVazZEVaeDvphEsXIblD
22,22,351,418,4,2020-01-22,mWebovXQPkxBepRSUDioLSNLkQYOzyVIerinmhfqbSPNVtFuCLQnGvIvlkWAgkKkbBGxbcABLlujkOrgNsNlfocJDUAlDqhzmNnKCQQCbydyEqkBLqCzxLDJtHywCfxlTIjziOCBRdsvebnQVibjVBODxmKzeUURpUzZIBnBxjWSQVyQogtXCGCfDXIhkcTTTzwhIgqf
